index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds
0,q_0,Emergency_Department,36,36,True,303,11.46332
1,q_1,Emergency_Department,62,62,True,429,13.868408
2,q_2,Emergency_Department,38,38,True,439,8.319952
3,q_3,Emergency_Department,62,62,True,338,7.106313
4,q_4,Emergency_Department,24,24,True,392,11.580817
5,q_5,Emergency_Department,24,24,True,428,11.948179
6,q_6,Emergency_Department,36,36,True,290,7.975345
7,q_7,Emergency_Department,62,62,True,344,7.592918
8,q_8,Emergency_Department,38,38,True,507,14.092326
9,q_9,Emergency_Department,62,62,True,334,8.144149
10,q_10,Emergency_Department,24,24,True,404,12.478053
11,q_11,Emergency_Department,24,24,True,486,8.158264
12,q_12,Emergency_Department,36,36,True,311,14.880999
13,q_13,Emergency_Department,62,62,True,421,15.8749
14,q_14,Emergency_Department,38,38,True,457,9.587081
15,q_15,Emergency_Department,62,62,True,334,12.047867
16,q_16,Emergency_Department,24,24,True,427,7.706252
17,q_17,Emergency_Department,24,24,True,401,14.586976
18,q_18,Emergency_Department,36,36,True,273,11.983525
19,q_19,Emergency_Department,62,62,True,344,7.97196
20,q_20,Emergency_Department,38,38,True,396,13.644507
21,q_21,Emergency_Department,62,62,True,303,8.496344
22,q_22,Emergency_Department,24,24,True,404,7.454957
23,q_23,Emergency_Department,24,24,True,569,22.790074
24,q_24,Emergency_Department,36,36,True,294,8.40571
25,q_25,Emergency_Department,38,38,True,350,18.544867
26,q_26,Emergency_Department,38,38,True,524,8.031196
27,q_27,Emergency_Department,62,62,True,296,6.977148
28,q_28,Emergency_Department,indeterminate,indeterminate,True,464,23.275239
29,q_29,Emergency_Department,36,36,True,304,8.314372
30,q_30,Emergency_Department,38,38,True,477,18.040928
31,q_31,Emergency_Department,38,38,True,507,22.614429
32,q_32,Emergency_Department,62,62,True,339,15.012245
33,q_33,Emergency_Department,indeterminate,indeterminate,True,458,5.957299
34,q_34,Emergency_Department,indeterminate,indeterminate,True,379,7.510893
35,q_35,Emergency_Department,36,36,True,350,28.434052
36,q_36,Emergency_Department,62,62,True,344,8.452176
37,q_37,Emergency_Department,38,38,True,380,7.278608
38,q_38,Emergency_Department,62,41,False,400,8.031016
39,q_39,Emergency_Department,24,24,True,389,7.237868
40,q_40,Emergency_Department,24,38,False,633,10.875466
41,q_41,Emergency_Department,36,36,True,240,7.381626
42,q_42,Emergency_Department,62,62,True,401,7.957326
43,q_43,Emergency_Department,38,38,True,472,8.48514
44,q_44,Emergency_Department,62,41,False,461,8.073752
45,q_45,Emergency_Department,24,24,True,393,7.814574
46,q_46,Emergency_Department,24,62,False,501,17.490246
47,q_47,Emergency_Department,36,36,True,419,15.734682
48,q_48,Emergency_Department,62,62,True,364,7.325014
49,q_49,Emergency_Department,38,38,True,386,8.772654
50,q_50,Emergency_Department,62,41,False,346,6.817494
51,q_51,Emergency_Department,24,24,True,414,13.184715
52,q_52,Emergency_Department,24,62,False,449,7.822012
53,q_53,Emergency_Department,36,36,True,288,8.204451
54,q_54,Emergency_Department,62,62,True,293,17.977583
55,q_55,Emergency_Department,38,38,True,546,8.044599
56,q_56,Emergency_Department,62,41,False,470,8.178555
57,q_57,Emergency_Department,24,24,True,428,8.84031
58,q_58,Emergency_Department,24,62,False,871,11.866324
59,q_59,Emergency_Department,36,36,True,429,11.35965
60,q_60,Emergency_Department,38,38,True,438,8.023894
61,q_61,Emergency_Department,38,38,True,505,8.95852
62,q_62,Emergency_Department,62,62,True,371,8.955497
63,q_63,Emergency_Department,indeterminate,indeterminate,True,381,5.280073
64,q_64,Emergency_Department,indeterminate,indeterminate,True,385,5.588576
65,q_65,Emergency_Department,36,36,True,399,8.079121
66,q_66,Emergency_Department,38,38,True,392,7.114766
67,q_67,Emergency_Department,38,38,True,548,8.542568
68,q_68,Emergency_Department,62,62,True,349,7.156591
69,q_69,Emergency_Department,indeterminate,indeterminate,True,545,6.862126
70,q_70,Emergency_Department,indeterminate,indeterminate,True,375,5.223276
71,q_71,Emergency_Department,30,36,False,318,9.533553
72,q_72,Emergency_Department,57,57,True,403,8.442732
73,q_73,Emergency_Department,37,57,False,718,10.729838
74,q_74,Emergency_Department,35,35,True,843,11.975316
75,q_75,Emergency_Department,23,23,True,317,8.097477
76,q_76,Emergency_Department,20,20,True,353,7.7215
77,q_77,Emergency_Department,24,23,False,340,8.028081
78,q_78,Emergency_Department,30,30,True,592,9.874439
79,q_79,Emergency_Department,57,57,True,606,10.432468
80,q_80,Emergency_Department,37,37,True,708,10.533468
81,q_81,Emergency_Department,35,23,False,349,8.337126
82,q_82,Emergency_Department,23,23,True,237,8.767876
83,q_83,Emergency_Department,20,20,True,334,7.286019
84,q_84,Emergency_Department,24,23,False,343,7.75082
85,q_85,Emergency_Department,30,30,True,337,10.607325
86,q_86,Emergency_Department,57,57,True,406,8.077604
87,q_87,Emergency_Department,37,37,True,455,8.56851
88,q_88,Emergency_Department,35,35,True,598,10.457251
89,q_89,Emergency_Department,23,23,True,354,8.16527
90,q_90,Emergency_Department,20,20,True,419,8.588348
91,q_91,Emergency_Department,24,23,False,200,6.140503
92,q_92,Emergency_Department,30,30,True,514,8.850399
93,q_93,Emergency_Department,57,57,True,346,7.992114
94,q_94,Emergency_Department,37,37,True,294,7.36326
95,q_95,Emergency_Department,35,23,False,378,7.462142
96,q_96,Emergency_Department,23,23,True,395,8.884462
97,q_97,Emergency_Department,20,20,True,403,15.361768
98,q_98,Emergency_Department,24,23,False,281,7.573591
99,q_99,Emergency_Department,30,30,True,509,13.096779
100,q_100,Emergency_Department,57,57,True,212,7.044356
101,q_101,Emergency_Department,37,37,True,455,9.106885
102,q_102,Emergency_Department,35,47,False,654,11.499184
103,q_103,Emergency_Department,23,23,True,219,14.78552
104,q_104,Emergency_Department,20,20,True,301,9.679871
105,q_105,Emergency_Department,24,47,False,385,10.715647
106,q_106,Emergency_Department,30,18,False,379,15.853196
107,q_107,Emergency_Department,57,57,True,276,7.860379
108,q_108,Emergency_Department,37,37,True,460,8.819356
109,q_109,Emergency_Department,35,35,True,963,18.73783
110,q_110,Emergency_Department,23,23,True,223,7.426264
111,q_111,Emergency_Department,20,20,True,355,12.337777
112,q_112,Emergency_Department,24,23,False,263,8.115241
113,q_113,UMDvsUNC,34,24,False,192,7.304316
114,q_114,UMDvsUNC,69,69,True,240,6.625306
115,q_115,UMDvsUNC,35,32,False,215,18.750614
116,q_116,UMDvsUNC,14,14,True,280,10.640177
117,q_117,UMDvsUNC,15,15,True,257,6.933314
118,q_118,UMDvsUNC,23,8,False,451,9.47581
119,q_119,UMDvsUNC,16,8,False,491,10.184811
120,q_120,UMDvsUNC,10,10,True,625,10.842626
121,q_121,UMDvsUNC,34,34,True,347,7.001932
122,q_122,UMDvsUNC,69,69,True,315,7.314876
123,q_123,UMDvsUNC,35,32,False,411,14.219042
124,q_124,UMDvsUNC,14,14,True,263,6.797695
125,q_125,UMDvsUNC,15,15,True,333,7.221833
126,q_126,UMDvsUNC,23,23,True,384,7.712961
127,q_127,UMDvsUNC,10,10,True,438,8.539136
128,q_128,UMDvsUNC,indeterminate,indeterminate,True,446,9.676028
129,q_129,UMDvsUNC,34,34,True,443,13.898195
130,q_130,UMDvsUNC,69,69,True,315,13.182205
131,q_131,UMDvsUNC,35,14,False,412,8.284303
132,q_132,UMDvsUNC,14,21,False,520,8.561625
133,q_133,UMDvsUNC,15,15,True,424,8.142433
134,q_134,UMDvsUNC,15,15,True,545,10.129497
135,q_135,UMDvsUNC,indeterminate,indeterminate,True,437,6.275443
136,q_136,UMDvsUNC,indeterminate,indeterminate,True,978,11.124609
